"Name","Number_and_Address"
"Sri Lakshmi Caterers","(91)-80-33054803Old Madras Road, Ulsoor..|more...No.113/17/1, Old Madras Road, Ulsoor, Bangalore - 560008, Near Adarsha TheatreCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"Adithya Catering","(91)-80-33083963Shanthi Layout, Ramamurthy Nag..|more...No.33, 7th Cross, Shanthi Layout, Ramamurthy Nagar, Bangalore - 560016, Near Auto StandCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"Sri Vinayaka Raju Tent House","(91)-80-395578902nd Cross, Malleswaram..|more...No.29/3, 2nd Cross, Malleswaram, Bangalore - 560003, Near Halli Mane Hotel,Behind State Bank Of MysoreCaterers For Veg Cuisine,                                                                                                                Tent House,more...""Name","Number_and_Address"
"Shastry Catering","(91)-80-33561026Bank, Banashankari 3rd Stage..|more...No.59/2, 7th Main,5th Cross,7th Block, 4th Phase, Syndicate Bank Colony, Banashankari 3rd Stage, Bangalore - 560085, Near Popular Bajaj ShowroomCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"V S Group","(91)-80-3955845717th Main, Girinagar..|more...No.1491, 40 Feet Road,17th Main, Girinagar, Bangalore - 560085, Near Shaniswara TempleCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"SHREE ANNAPOORNA CATERERS","(91)-80-33083962VILLAGE, Banashankari 3rd Stag..|more...#34, ITTAMADU VILLAGE, Banashankari 3rd Stage, Bangalore - 560085, NEAR MATHAJI TRADERSCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"G R Enterprises","(91)-80-33723449Banashankari 3rd Stage..|more...No.101/A, Guru Krupa, Durganagar, Kerepalya, Hosakerehalli, Banashankari 3rd Stage, Bangalore - 560085, Nr Bhagini  HotelCaterers For Veg Cuisine,                                                                                                                Caterers,more...""Name","Number_and_Address"
"AJS Catering Services","(91)-9448848065, 9036638370Banashankari 3rd Stage..|more...No.54,Ittamandu Ward, Bhuwaneshwari Circle,Kathriguppe, Banashankari 3rd Stage, Bangalore - 560085Caterers For Veg Cuisine,                                                                                                                Cooks On Hire,more...""Name","Number_and_Address"
"Sunitas Kitchen","(91)-9945686612Girinagar 2nd Phase, Girinagar..|more...No.1084, 3rd B Main, 7th Cross Girinagar 2nd Phase, Girinagar, Bangalore - 560085, Near Anjenaya Temple Or Baba MandirCaterers For Veg Cuisine                                                                                                               ,more...""Name","Number_and_Address"
"Falcon Enterprises","(91)-80-39828033Nayandahalli, Mysore Road..|more...No 110, Pantharpalya, Nayandahalli, Mysore Road, Bangalore - 560026, Near Bharat Petrol BunkCaterers For Veg Cuisine,                                                                                                                Caterers,more..."
